compound,ffax
C4:0,0.8626
C6:0,0.8922
C8:0,0.9114
C10:0,0.9247
C11:0,0.93
C12:0,0.9346
C13:0,0.9386
C14:0,0.9421
C14:1,0.9416
C15:0,0.9453
C15:1,0.99449
C16:0,0.9481
C16:1,0.9477
C16:2n4,0.9477
C17:0,0.9507
C16:3n4,0.9469
C17:1,0.9503
C16:4n1,0.9465
C18:0,0.953
C18:1n9,0.9527
C18:1n9t,0.9527
C18:1n7,0.9527
C18:2n6,0.9524
C18:2n6t,0.9524
C18:2n4,0.9524
C18:3n6,0.952
C18:3n4,0.952
C18:3n3,0.952
C18:4n3,0.9517
C20:0,0.957
C20:1n11+,0.9568
C20:1n9,0.9568
C20:2n6,0.9565
C20:3n6,0.9562
C21:0,0.9588
C20:4n6,0.9633
C20:3n3,0.9562
C20:4n3,0.956
C20:5n3,0.9557
C22:0,0.9604
C22:1n9,0.9602
C22:2n6,0.96
C23:0,0.9619
C21:5n3,0.9576
C22:5n6,0.9593
C22:5n3,0.9593
C24:0,0.9633
C22:6n3,0.959
C24:1,0.9631
