compound,report_order
C4:0,1
C6:0,2
C8:0,3
C10:0,4
C11:0,5
C12:0,6
C13:0,7
C14:0,8
C14:1,9
C15:0,10
C15:1,11
C16:0,12
C16:1,13
C16:2n4,14
C17:0,15
C16:3n4,16
C17:1,17
C16:4n1,18
C18:0,19
C18:1n9,20
C18:1n9t,21
C18:1n7,22
C18:2n6,23
C18:2n6t,24
C18:2n4,25
C18:3n6,26
C18:3n4,27
C18:3n3,28
C18:4n3,29
C20:0,30
C20:1n11,31
C20:1n9,32
C20:2n6,33
C20:3n6,34
C21:0,35
C20:4n6,36
C20:3n3,37
C20:4n3,38
C20:5n3,39
C22:0,40
C22:1n9,41
C22:2n6,42
C23:0,43
C21:5n3,44
C22:5n6,45
C22:5n3,46
C24:0,47
C22:6n3,48
C24:1n9,49
Unknown,50
Unknow,50
-,50
