compound,tcf
C4:0,1.5929
C6:0,1.3537
C8:0,1.234
C10:0,1.1623
C11:0,1.1362
C12:0,1.1144
C13:0,1.096
C14:0,1.0802
C14:1,1.0713
C15:0,1.0666
C15:1,1.0582
C16:0,1.0546
C16:1,1.0468
C16:2n4,1.0468
C17:0,1.0441
C16:3n4,1.031
C17:1,1.0367
C16:4n1,1.0232
C18:0,1.0347
C18:1n9,1.0277
C18:1n9t,1.0277
C18:1n7,1.0277
C18:2n6,1.0207
C18:2n6t,1.0207
C18:2n4,1.0207
C18:3n6,1.0137
C18:3n4,1.0137
C18:3n3,1.0137
C18:4n3,1.0067
C20:0,1.0187
C20:1n11+,1.0124
C20:1n9,1.0124
C20:2n6,1.0061
C20:3n6,1.0065
C21:0,1.0119
C20:4n6,0.9976
C20:3n3,1.0065
C20:4n3,0.9976
C20:5n3,0.998
C22:0,1.0057
C22:1n9,1.0
C22:2n6,0.9942
C23:0,1.0
C21:5n3,0.9819
C22:5n6,1.0163
C22:5n3,1.0163
C24:0,0.9948
C22:6n3,0.9855
C24:1,0.9896
